id;title;brand;normal_price;low_price;high_price;oferta;categoria1;categoria2;datetime;Atributos;sin_stock;page;ahorro;ahorro_percent;kilo
84;Jabón en barra Giselle 2 unid2 5L  150 g c/u2 5L  nutrición;Giselle;1799.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;3;0.0;0.0;1.0
85;Shampoo Classic Smooth 400 ml;Herbal Essences;0.0;4599.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;3;-4599.0;-7.016;1.0
86;Desodorante crema Rexona Extra Dry 48 g;Rexona Clinical;0.0;4504.0;5299.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;3;795.0;1.213;1.0
87;Protectores diarios Ladysoft largos suaves 30 un.;Ladysoft;1339.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;3;0.0;0.0;1.0
88;Jabón líquido mandarina 700 ml;Dove;0.0;2659.0;3549.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;3;890.0;1.358;1.0
89;Protector diario Kotex 100 un.;Kotex;3199.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;3;0.0;0.0;1.0
90;Desodorante original femenino barra 50 g;Dove;3249.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;3;0.0;0.0;1.0
91;Pasta dental Total 12 anti sarro 90 g;Colgate;2820.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;3;0.0;0.0;1.0
92;Toallitas desmaquillantes Sensitive 30 un.;Family Care;1290.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;3;0.0;0.0;1.0
93;Desodorante barra Invisible Floral 45 g;Lady Speed Stick;2999.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;3;0.0;0.0;1.0
94;Desodorante Original spray 150 ml;Dove;0.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;3;0.0;0.0;1.0
95;Shampoo manzana fresh 375 ml;Head & Shoulders;4159.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;3;0.0;0.0;1.0
96;Pasta dental Triple Acción xtra frescura 2 un. 90 g c/u;Colgate;3490.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;3;0.0;0.0;1.0
97;Protectores protección largos 20 40 Un.;Carefree;0.0;1970.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;3;-1970.0;-3.005;1.0
98;Desodorante spray invisible Black & White 150 ml;Nivea;0.0;2669.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;3;-2669.0;-4.072;1.0
99;Acondicionador Aloe Hidra Bomb 350 ml;Fructis;0.0;2989.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;3;-2989.0;-4.56;1.0
100;Protectores protección con perfume 100 un.;Carefree;3659.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;3;0.0;0.0;1.0
101;Jabón líquido humectante 700 ml;Elite;0.0;2390.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;3;-2390.0;-3.646;1.0
102;Shampoo ondas y rizos 750 ml;Ballerina;1590.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;3;0.0;0.0;1.0
103;Shampoo manzanilla 750 ml;Ballerina;1559.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;3;0.0;0.0;1.0
104;Jabón líquido castaña 500 ml;Simonds;1759.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;3;0.0;0.0;1.0
105;Bálsamo ondas y rizos 750 ml;Ballerina;1590.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;3;0.0;0.0;1.0
106;Toallas higiénicas Nosotras Ultra Invisible malla 16 un.;Nosotras;0.0;1832.0;2290.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;3;458.0;0.699;1.0
107;Cepillo dental mediano 2 un.;Dento;1990.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;3;0.0;0.0;1.0
108;Bálsamo largo increible 750 ml;Ballerina;1559.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;3;0.0;0.0;1.0
109;Shampoo Reparación Total 5 370 ml;Elvive;0.0;3699.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;3;-3699.0;-5.643;1.0
110;Shampoo Daily Care limpieza profunda 410 ml;Simonds;1699.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;3;0.0;0.0;1.0
111;Toallas higiénicas Naturella Ultra con manzanilla 14 un.;Naturella;1979.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;3;0.0;0.0;1.0
112;Shampoo Anticaspa + Acondicionador Caspa Control 400 ml;Dove Men;0.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;3;0.0;0.0;1.0
113;Shampoo Color Vive 370 ml;Elvive;3989.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;3;0.0;0.0;1.0
114;Acondicionador Oil Repair Liso Coco 350 ml;Fructis;0.0;2989.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;3;-2989.0;-4.56;1.0
115;Pañal adulto Tena Pants nocturno L 8 unid.;Tena;8199.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;3;0.0;0.0;1.0
116;Toallas higiénicas Nosotras Normal suave sin alas 10 un.;Nosotras;990.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;3;0.0;0.0;1.0
117;Shampoo Colorvive Purple 200 ml;Elvive;3999.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;3;0.0;0.0;1.0
